Agency,OfficeCode,ClientName,DebtorsAccountCode,MediaName,ClientCode,ProductCode,ProductName,CampaignCode,CampaignName,BuyMonth,BuySerial,BookingCategoryShortname,SupplierName,BuyerName,BuyerPID,BuyDate,BookedDate,LastAmendedInvoice,CampaignReference,ClientReference,BillComments,PO,PO_Reference,Gross,MediaDiscountPercentage,Payable,Paid,UnPaid,AgencyCommission,Billable,Billed,UnBilled,LevyBillable,Unbilled Client Cost,VATBillable,Vouchered,AgencyCommentBy,Action,AgencyCommentDate,Bill,LocalCurrencyCode,AccountExchangerate,BillableCurrency,ASBOF / BASBOF,BilledCurrency,UnbilledCurrency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,DISPLAY,,,BEAUTY LES BEIGES,6,FB_MU_LESBEIGESHEROSUPPO,Jun-24,,Display,HARPERS BAZAAR,,,,,,,PO00062541,PO00062541,PO00062541,PO00062541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,DISPLAY,,,BEAUTY LES BEIGES,6,FB_MU_LESBEIGESHEROSUPPO,Jun-24,,Display,HARPERS BAZAAR,,,,,,,PO00062541,PO00062541,PO00062541,PO00062541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,DISPLAY,,,BEAUTY LES BEIGES,6,FB_MU_LESBEIGESHEROSUPPO,Jun-24,,Display,ELLE UK,,,,,,,PO00062541,PO00062541,PO00062541,PO00062541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,DISPLAY,,,BEAUTY LES BEIGES,6,FB_MU_LESBEIGESHEROSUPPO,Jun-24,,Display,WHO WHAT WEAR,,,,,,,PO00062541,PO00062541,PO00062541,PO00062541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,DISPLAY,,,BEAUTY LES BEIGES,6,FB_MU_LESBEIGESHEROSUPPO,Jun-24,,Display,WHO WHAT WEAR,,,,,,,PO00062541,PO00062541,PO00062541,PO00062541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,DISPLAY,,,BEAUTY LES BEIGES,6,FB_MU_LESBEIGESHEROSUPPO,Jun-24,,Adserving,SIZMEK STRIKEAD GBP,,,,,,,PO00062541,PO00062541,PO00062541,PO00062541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,DISPLAY,,,BEAUTY LES BEIGES,6,FB_MU_LESBEIGESHEROSUPPO,Jun-24,,Display,WHO WHAT WEAR,,,,,,,PO00062541,PO00062541,PO00062541,PO00062541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,DISPLAY,,,BEAUTY LES BEIGES,6,FB_MU_LESBEIGESHEROSUPPO,Jun-24,,Display,HEARST DIGITAL,,,,,,,PO00062541,PO00062541,PO00062541,PO00062541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,DISPLAY,,,BEAUTY LES BEIGES,6,FB_MU_LESBEIGESHEROSUPPO,Jun-24,,Display,ELLE UK,,,,,,,PO00062541,PO00062541,PO00062541,PO00062541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,DISPLAY,,,BEAUTY LES BEIGES,6,FB_MU_LESBEIGESHEROSUPPO,Jun-24,,Display,SHEERLUXE,,,,,,,PO00062541,PO00062541,PO00062541,PO00062541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,DISPLAY,,,BEAUTY LES BEIGES,6,FB_MU_LESBEIGESHEROSUPPO,Jun-24,,Display,ELLE UK,,,,,,,PO00062541,PO00062541,PO00062541,PO00062541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,INT'L,,,FEES,6,REGIONAL OPS_APR-DEC24,Jul-24,,Product -Int,PHD INTERNATIONAL (GBP),,,,,,,PO00060496,,PO00060496,PO00060496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
